"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source"
1214,"2023-12-12","IDPs",6.0395317,31.5116032,25.6210503654452,"Fourth","rms"
1215,"2023-12-12","IDPs",6.0408042,31.5076,32.2909442738045,"Fourth","rms"
1216,"2023-12-12","IDPs",6.0410052,31.5074228,37.5637824805333,"Richest","rms"
1218,"2023-12-12","IDPs",6.0394924,31.5110465,10.6549867049765,"Second","rms"
1221,"2023-12-12","IDPs",6.0395583,31.5113271,35.7473225929322,"Richest","rms"
1222,"2023-12-12","IDPs",6.0388772,31.5111023,6.12728395139771,"Poorest","rms"
1223,"2023-12-12","IDPs",6.0414639,31.5079594,2.67090563227009,"Poorest","rms"
1224,"2023-12-12","IDPs",6.0419931,31.5087539,2.67090563227009,"Poorest","rms"
1225,"2023-12-12","IDPs",6.0414332,31.5077181,2.67090563227009,"Poorest","rms"
1226,"2023-12-12","IDPs",6.0414853,31.508293,13.3077967172153,"Second","rms"
1227,"2023-12-12","IDPs",6.0420197,31.5090338,2.67090563227009,"Poorest","rms"
1228,"2023-12-12","IDPs",6.0408299,31.5100849,2.67090563227009,"Poorest","rms"
1229,"2023-12-12","IDPs",6.0389372,31.5109566,6.12728395139771,"Poorest","rms"
1231,"2023-12-12","IDPs",9.9851773,33.772434,3.79998684705804,"Poorest","rms"
1232,"2023-12-12","IDPs",9.9852757,33.7726796,7.25636516618565,"Second","rms"
1233,"2023-12-12","IDPs",9.9856512,33.7723678,7.25636516618565,"Second","rms"
1234,"2023-12-12","IDPs",6.2153276,31.6044176,7.11542644423079,"Second","rms"
1237,"2023-12-12","IDPs",6.2156278,31.6041978,17.752317529176,"Middle","rms"
1238,"2023-12-12","IDPs",6.2154301,31.6037419,18.2864273750606,"Middle","rms"
1240,"2023-12-12","IDPs",6.2155183,31.6037705,17.752317529176,"Middle","rms"
1241,"2023-12-12","IDPs",6.215362,31.6037752,17.752317529176,"Middle","rms"
1242,"2023-12-12","IDPs",6.2154766,31.6038212,17.752317529176,"Middle","rms"
