"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source","living_conditions_score","living_conditions_category"
420,"2023-08-23","refugee",9.9717578,33.5726315,4.11254677583147,"Poorest","fds",2,"Good"
421,"2023-07-18","host community member",9.9671574,33.7352462,17.9354554710806,"Middle","fds",2,"Good"
422,"2023-07-24","refugee",9.9010175,30.3473474,32.7566742702274,"Richest","fds",3,"Good"
423,"2023-07-24","refugee",10.012645,33.76988,36.2398632850165,"Richest","fds",2,"Good"
424,"2023-05-30","host community member",9.9473839,33.5015352,9.10086257059171,"Second","fds",2,"Good"
425,"2023-05-15","refugee",9.9597128,30.2760429,38.1444511322431,"Richest","fds",2,"Good"
426,"2023-05-20","refugee",10.1064018,30.0954443,19.7743895547166,"Middle","fds",2,"Good"
427,"2023-06-16","host community member",9.9177919,29.9830498,4.72204612465741,"Poorest","fds",2,"Good"
428,"2023-09-07","refugee",9.901815,30.3469866,6.34677909107006,"Poorest","fds",3,"Good"
429,"2023-07-05","refugee",9.9690619,33.5725489,39.0652904692144,"Richest","fds",1,"Poor"
430,"2023-05-06","refugee",9.9916161,33.7701687,4.11254677583147,"Poorest","fds",2,"Good"
431,"2023-07-28","refugee",9.908038,30.3588962,15.2587344118808,"Middle","fds",2,"Good"
432,"2023-04-18","host community member",9.9755178,33.7348036,36.4873536288251,"Richest","fds",2,"Good"
433,"2023-06-20","host community member",9.8740726,30.2710352,20.9498006710118,"Middle","fds",1,"Poor"
434,"2023-05-24","host community member",10.0095197,29.9523413,6.86663025535313,"Poorest","fds",1,"Poor"
435,"2023-08-28","refugee",5.081019,27.4784457,21.6963047038713,"Middle","fds",1,"Poor"
436,"2023-06-08","refugee",10.1079173,30.0658916,0.772161084201544,"Poorest","fds",2,"Good"
437,"2023-11-13","refugee",4.7578834,31.4443989,31.1725977548713,"Fourth","fds",3,"Good"
438,"2023-07-21","refugee",9.9029719,30.3512921,39.5689718205887,"Richest","fds",3,"Good"
439,"2023-08-12","host community member",9.9604853,33.7331777,36.7187419729994,"Richest","fds",2,"Good"
440,"2023-04-24","host community member",9.9341334,33.9256473,13.4694446495611,"Second","fds",1,"Poor"
441,"2023-09-12","refugee",9.9054956,30.3508526,3.00639339944013,"Poorest","fds",3,"Good"
442,"2023-06-05","refugee",4.5707183,28.3899497,12.3608374642121,"Second","fds",1,"Poor"
443,"2023-09-20","refugee",9.9109323,30.3585227,9.55309528346301,"Second","fds",2,"Good"
444,"2023-06-26","host community member",9.9163064,29.9770838,0,"Poorest","fds",2,"Good"
445,"2023-06-27","refugee",9.970813,33.5647232,9.94982092928151,"Second","fds",3,"Good"
446,"2023-06-21","refugee",10.1094733,33.5920692,31.7835848563134,"Fourth","fds",3,"Good"
447,"2023-07-22","host community member",9.9740846,33.8010296,5.81413558018919,"Poorest","fds",2,"Good"
448,"2023-08-11","host community member",9.9566971,33.7099847,26.290042355735,"Fourth","fds",1,"Poor"
449,"2023-10-09","refugee",5.3844464,27.2575113,13.4694446495611,"Second","fds",1,"Poor"
451,"2023-07-05","refugee",9.9099374,30.365606,41.0739636547946,"Richest","fds",3,"Good"
452,"2023-05-06","refugee",9.9655359,30.2822425,6.34677909107006,"Poorest","fds",3,"Good"
453,"2023-05-26","host community member",9.9556854,33.7028008,30.7853325942222,"Fourth","fds",2,"Good"
454,"2023-05-03","host community member",9.9667587,33.8075994,9.10086257059171,"Second","fds",2,"Good"
